carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5,1.0,1.0,2.0,5.1,5.15,3.2,61.5,56.91017964071856,3000.0
0.7,13.0,2.0,9.0,5.7,5.829705882352942,3.52,62.0,59.0,4500.0
1.2,9.0,9.0,8.0,5.885786802030457,6.82,4.2,61.7,58.0,10000.0
0.9,0.0,7.0,0.0,6.0,5.829705882352942,3.7,61.7,56.91017964071856,2400.0
0.7989999999999999,3.0,4.0,10.0,5.9,5.92,3.63,62.31654135338345,57.0,4200.0
0.5,9.0,1.0,2.0,5.1,5.829705882352942,3.2,61.5,57.0,3100.0
0.4,7.0,11.0,7.0,4.8,4.79,2.95,62.31654135338345,56.91017964071856,1500.0
1.0,12.0,3.0,2.0,6.4,5.829705882352942,4.0,62.31654135338345,58.0,7500.0
0.7989999999999999,11.0,14.0,0.0,5.7,5.71,3.54,62.31654135338345,54.0,2000.0
1.1,12.0,10.0,9.0,6.6,5.829705882352942,4.08,62.31654135338345,57.0,9200.0
0.55,2.0,5.0,7.0,5.3,5.29,3.6946710526315782,62.0,56.91017964071856,1800.0
0.5,10.0,12.0,11.0,5.2,5.829705882352942,3.2,62.31654135338345,56.0,2300.0
1.0,1.0,9.0,8.0,6.5,6.49,3.6946710526315782,61.7,58.0,11410.714285714286
0.6,11.0,13.0,1.0,5.5,5.52,3.6946710526315782,62.31654135338345,57.0,2200.0
0.7,8.0,7.0,6.0,5.885786802030457,5.79,3.57,61.6,56.91017964071856,2100.0
0.7989999999999999,5.0,11.0,2.0,6.1,6.15,3.9,61.8,57.0,6000.0
0.35,9.0,4.0,2.0,4.5,4.52,3.6946710526315782,61.9,56.0,1300.0
0.55,0.0,14.0,9.0,5.4,5.42,3.35,62.1,56.91017964071856,2500.0
0.7989999999999999,12.0,1.0,2.0,6.7,6.71,4.15,62.31654135338345,58.0,7700.0
0.65,4.0,8.0,11.0,5.6,5.829705882352942,3.47,62.3,58.0,2900.0
0.9,11.0,13.0,0.0,6.1,6.12,3.78,62.4,56.91017964071856,2600.0
0.7989999999999999,5.0,10.0,9.0,6.9,5.829705882352942,4.27,62.2,57.0,9300.0
0.45,2.0,6.0,7.0,4.9,4.91,3.6946710526315782,62.1,56.0,1700.0
0.6,13.0,4.0,1.0,5.5,5.49,3.6946710526315782,62.31654135338345,58.0,2800.0
0.7989999999999999,10.0,11.0,11.0,5.3,5.31,3.3,62.0,57.0,2700.0
